"OBJECTID","gml_id","STNID","COOPID","WBANID","COBAN","BEG_DATE","END_DATE","NAME","COUNTRY","STATE","COUNTY","DIV","LATITUDE","LONGITUDE","ELEVATION","SE_ANNO_CAD_DATA","gml_geometry_property"
22007,"F306__10145","20010902  ","212828","99999","212828NNNNN","190907","191102","FLOODWOOD                    ","UNITED STATES                  ","MN","ST. LOUIS","03",46.930000,-92.910000,1240.000000,"","Shape"
22008,"F306__10159","12002731  ","213200","99999","213200NNNNN","191806","192409","GOLDEN VALLEY                ","UNITED STATES                  ","MN","MARSHALL","99",48.310000,-95.880000,1160.000000,"","Shape"
22096,"F306__10985","20010747  ","216822","99999","216822NNNNN","194807","201012","RED WING DAM 3               ","UNITED STATES                  ","MN","GOODHUE","09",44.600000,-92.600000,677.000000,"","Shape"
22097,"F306__10998","30000875  ","217012","99999","217012NNNNN","200010","200612","ROCK CO SHERIFF              ","UNITED STATES                  ","MN","ROCK","07",43.650000,-96.200000,1500.000000,"","Shape"
22106,"F306__11105","30015073  ","217370","14927","21737014927","200908","201106","ST PAUL DOWNTOWN AP          ","UNITED STATES                  ","MN","RAMSEY","06",44.910000,-93.050000,700.000000,"","Shape"
22107,"F306__11119","30002941  ","217573","99999","217573NNNNN","189502","190905","SHAKOPEE                     ","UNITED STATES                  ","MN","SCOTT","05",44.760000,-93.500000,745.000000,"","Shape"
22116,"F306__11223","20010649  ","217941","99999","217941NNNNN","188603","201012","SPRING VALLEY                ","UNITED STATES                  ","MN","FILLMORE","09",43.680000,-92.380000,1275.000000,"","Shape"
22117,"F306__11237","20011065  ","218247","99999","218247NNNNN","190302","201012","THIEF RIVER FALLS 2          ","UNITED STATES                  ","MN","PENNINGTON","01",48.110000,-96.160000,1130.000000,"","Shape"
22413,"F306__23205","20010770  ","999999","14911","NNNNNN14911","195112","195112","MINNEAPOLIS FT SNELLING      ","UNITED STATES                  ","MN","HENNEPIN","99",44.880000,-93.210000,-99999.000000,"","Shape"
22414,"F306__23206","20010771  ","999999","14947","NNNNNN14947","194503","196112","MINNEAPOLIS NAS              ","UNITED STATES                  ","MN","HENNEPIN","99",44.880000,-93.210000,-99999.000000,"","Shape"
22415,"F306__23207","20010769  ","999999","14922","NNNNNN14922","194507","194801","MINNEAPOLIS ST PAUL WOLD CHAM","UNITED STATES                  ","MN","HENNEPIN","06",44.880000,-93.210000,833.000000,"","Shape"
22514,"F306__23259","20010803  ","999999","94960","NNNNNN94960","200909","201012","MPLS CRYSTAL AP              ","UNITED STATES                  ","MN","HENNEPIN","06",45.050000,-93.350000,-99999.000000,"","Shape"
22584,"F306__23336","30001829  ","999999","14913","NNNNNN14913","194801","201106","DULUTH                       ","UNITED STATES                  ","MN","ST. LOUIS","99",46.830000,-92.200000,1428.000000,"","Shape"
22585,"F306__23337","20010892  ","999999","94909","NNNNNN94909","195109","195201","DULUTH WILIAMSON JOH         ","UNITED STATES                  ","MN","ST. LOUIS","99",46.830000,-92.180000,-99999.000000,"","Shape"
23347,"F306__24172","20010936  ","999999","94931","NNNNNN94931","199002","201106","HIBBING CHISHOLM HIBBING AP  ","UNITED STATES                  ","MN","ST. LOUIS","03",47.380000,-92.830000,-99999.000000,"","Shape"
23539,"F306__24382","20011029  ","999999","94961","NNNNNN94961","199801","200106","BAUDETTE INTL AP             ","UNITED STATES                  ","MN","LAKE OF THE WOODS","99",48.710000,-94.600000,1082.000000,"","Shape"
23693,"F306__24553","20011019  ","999999","14918","NNNNNN14918","194801","194801","INTL FALLS MUNI AP           ","UNITED STATES                  ","MN","KOOCHICHING","02",48.560000,-93.380000,1181.000000,"","Shape"
